A,D,alpha,offset,min,max
0.0320000000000000006661,D 0.0269347998092649976165,90.0,90.0000000000000142109,-20.0,70.0
-0.0,D -0.00549750000000000238476,-90.0,90.0,-29.9999999999999964473,29.9999999999999964473
0.0233646634339099296129,D -0.142799999999999982503,-90.0,-75.0000050721302642387,-50.0,50.0
-0.0,D 0.106989231615538818443,-90.0000000000000284217,89.9999999999999715783,-95.5,10.0
-1.11495382602822406101e-07,D -3.94469938334075986308e-08,-90.0,89.9999999999999857891,0.0,160.800000000000011369
0.0150000000000000670991,D 0.159060000000000006937,-90.0000000000000426326,-104.999994927869778394,-37.0,80.0
0.0149999999999999959754,D 2.77555756156289196736e-17,-90.0,-179.999999999999971578,14.9999999999999982236,106.0
6.9999999999931228345e-06,D 0.14230000000000003757,90.0000000000000142109,89.9999999999963478103,-59.9999999999999928946,59.9999999999999928946
-0.0,D -0.000299999999999994661128,-90.0000000000000142109,-89.9999999999999573674,-80.0,25.0
0.0592582408027778409498,D -0.0250567000000000220106,1.32839895821426227449e-14,-178.361103386001985882,-20.0,25.0
